0	10.31	4.75	11.89	5.7
177	10.92	4.73	17.61	6.3
181	9.91	4.67	20.57	5.6
173	8.17	4.3	15.78	9.2
166	7.2	3.7	12.27	8.8
148	7.93	2.5	11.47	5.9
136	6.88	2.65	16.43	7.3
149	7.39	2.33	13.90	6.1
164	9.39	2.63	16.82	5.0
184	9.69	2.75	13.81	5.7
219	8.07	1.45	31.49	3.9
190	8.58	1.58	28.07	3.9
171	5.92	1	31.66	4.7
192	2.62	0.6	29.94	9.1
141	8.21	0.2	27.95	3.5
167	5.79	-0.75	31.78	3.2
198	6.36	-0.85	22.62	4.9
214	3.96	-0.74	23.50	5.0
203	9.15	-0.68	27.35	3.5
222	2.32	-0.78	32.54	6.5
190	1.66	-1.4	29.11	6.0
232	4.86	-1.27	21.95	4.4
196	4.21	-1.48	26.73	5.3
142	3.88	-1.4	19.50	4.3
148	2.91	-1.37	24.92	4.4
161	2.66	-2.17	25.10	4.0
151	1.85	-2.39	22.48	5.8
91	2.71	-2.22	21.35	5.0
160	3.85	-2.26	19.25	4.6
118	0.93	-2.57	24.84	8.0
135	0.8	-2.49	26.71	9.4
132	1.15	-2.21	19.28	9.8
158	2.3	-2.1	23.98	7.0
155	3.19	-2	33.36	6.1
167	2.24	-2.1	37.96	6.8
133	2.9	-2.15	49.64	6.0
159	0.15	-2.24	46.61	12.3
149	0.13	-2.77	42.05	15.0
168	0.13	-2.92	31.33	20.4
162	0.12	-2.93	27.63	20.0
152	0.12	-2.94	33.79	22.9
